Time,Oxygen Level,Pulse Rate,Motion,O2 Reminder,PR Reminder
23:26:32 Feb 27 2024,93,73,0,0,0
23:26:36 Feb 27 2024,93,72,0,0,0
23:26:40 Feb 27 2024,93,71,0,0,0
23:26:44 Feb 27 2024,92,71,0,0,0
23:26:48 Feb 27 2024,92,73,0,0,0
23:26:52 Feb 27 2024,93,75,0,0,0
23:26:56 Feb 27 2024,94,73,0,0,0
23:27:00 Feb 27 2024,94,70,0,0,0
23:27:04 Feb 27 2024,93,70,0,0,0
23:27:08 Feb 27 2024,93,72,0,0,0
23:27:12 Feb 27 2024,93,74,0,0,0
23:27:16 Feb 27 2024,93,73,0,0,0
23:27:20 Feb 27 2024,93,71,0,0,0
23:27:24 Feb 27 2024,93,72,0,0,0
23:27:28 Feb 27 2024,93,73,0,0,0
23:27:32 Feb 27 2024,94,72,0,0,0
23:27:36 Feb 27 2024,93,71,0,0,0
23:27:40 Feb 27 2024,92,73,0,0,0
23:27:44 Feb 27 2024,92,73,0,0,0
23:27:48 Feb 27 2024,93,73,0,0,0
23:27:52 Feb 27 2024,93,73,0,0,0
23:27:56 Feb 27 2024,93,71,0,0,0
23:28:00 Feb 27 2024,93,70,0,0,0
23:28:04 Feb 27 2024,94,71,0,0,0
23:28:08 Feb 27 2024,94,71,0,0,0
23:28:12 Feb 27 2024,94,72,0,0,0
23:28:16 Feb 27 2024,93,72,0,0,0
23:28:20 Feb 27 2024,93,72,0,0,0
23:28:24 Feb 27 2024,93,73,0,0,0
23:28:28 Feb 27 2024,94,73,0,0,0
23:28:32 Feb 27 2024,94,73,0,0,0
23:28:36 Feb 27 2024,93,73,0,0,0
23:28:40 Feb 27 2024,93,73,0,0,0
23:28:44 Feb 27 2024,93,73,0,0,0
23:28:48 Feb 27 2024,93,73,0,0,0
23:28:52 Feb 27 2024,93,73,0,0,0
23:28:56 Feb 27 2024,93,73,0,0,0
23:29:00 Feb 27 2024,93,73,0,0,0
23:29:04 Feb 27 2024,93,72,0,0,0
23:29:08 Feb 27 2024,94,73,0,0,0
23:29:12 Feb 27 2024,93,75,0,0,0
23:29:16 Feb 27 2024,93,75,0,0,0
23:29:20 Feb 27 2024,93,74,0,0,0
23:29:24 Feb 27 2024,93,74,0,0,0
23:29:28 Feb 27 2024,93,74,0,0,0
23:29:32 Feb 27 2024,93,72,0,0,0
23:29:36 Feb 27 2024,93,72,0,0,0
